X,neighbourhood,neighbourhoodPK
0,Agincourt North,1
1,Agincourt South-Malvern West,2
2,Alderwood,3
3,Annex,4
4,Banbury-Don Mills,5
5,Bathurst Manor,6
6,Bay Street Corridor,7
7,Bayview Village,8
8,Bayview Woods-Steeles,9
9,Bedford Park-Nortown,10
10,Beechborough-Greenbrook,11
11,Bendale,12
12,Birchcliffe-Cliffside,13
13,Black Creek,14
14,Blake-Jones,15
15,Briar Hill-Belgravia,16
16,Bridle Path-Sunnybrook-York Mills,17
17,Broadview North,18
18,Brookhaven-Amesbury,19
19,Cabbagetown-South St.James Town,20
20,Caledonia-Fairbank,21
21,Casa Loma,22
22,Centennial Scarborough,23
23,Church-Yonge Corridor,24
24,Clairlea-Birchmount,25
25,Clanton Park,26
26,Cliffcrest,27
27,Corso Italia-Davenport,28
28,Danforth,29
29,Danforth East York,30
30,Don Valley Village,31
31,Dorset Park,32
32,Dovercourt-Wallace Emerson-Junction,33
33,Downsview-Roding-CFB,34
34,Dufferin Grove,35
35,East End-Danforth,36
36,Edenbridge-Humber Valley,37
37,Eglinton East,38
38,Elms-Old Rexdale,39
39,Englemount-Lawrence,40
40,Eringate-Centennial-West Deane,41
41,Etobicoke West Mall,42
42,Flemingdon Park,43
43,Forest Hill North,44
44,Forest Hill South,45
45,Glenfield-Jane Heights,46
46,Greenwood-Coxwell,47
47,Guildwood,48
48,Henry Farm,49
49,Highland Creek,50
50,High Park North,51
51,High Park-Swansea,52
52,Hillcrest Village,53
53,Humber Heights-Westmount,54
54,Humbermede,55
55,Humber Summit,56
56,Humewood-Cedarvale,57
57,Ionview,58
58,Islington-City Centre West,59
59,Junction Area,60
60,Keelesdale-Eglinton West,61
61,Kennedy Park,62
62,Kensington-Chinatown,63
63,Kingsview Village-The Westway,64
64,Kingsway South,65
65,Lambton Baby Point,66
66,L'Amoreaux,67
67,Lansing-Westgate,68
68,Lawrence Park North,69
69,Lawrence Park South,70
70,Leaside-Bennington,71
71,Little Portugal,72
72,Long Branch,73
73,Malvern,74
74,Maple Leaf,75
75,Markland Wood,76
76,Milliken,77
77,Mimico (includes Humber Bay Shores),78
78,Morningside,79
79,Moss Park,80
80,Mount Dennis,81
81,Mount Olive-Silverstone-Jamestown,82
82,Mount Pleasant East,83
83,Mount Pleasant West,84
84,Newtonbrook East,85
85,Newtonbrook West,86
86,New Toronto,87
87,Niagara,88
88,North Riverdale,89
89,North St.James Town,90
90,Oakridge,91
91,Oakwood Village,92
92,O'Connor-Parkview,93
93,Old East York,94
94,Palmerston-Little Italy,95
95,Parkwoods-Donalda,96
96,Pelmo Park-Humberlea,97
97,Playter Estates-Danforth,98
98,Pleasant View,99
99,Princess-Rosethorn,100
100,Regent Park,101
101,Rexdale-Kipling,102
102,Rockcliffe-Smythe,103
103,Roncesvalles,104
104,Rosedale-Moore Park,105
105,Rouge,106
106,Runnymede-Bloor West Village,107
107,Rustic,108
108,Scarborough Village,109
109,South Parkdale,110
110,South Riverdale,111
111,St.Andrew-Windfields,112
112,Steeles,113
113,Stonegate-Queensway,114
114,Tam O'Shanter-Sullivan,115
115,Taylor-Massey,116
116,The Beaches,117
117,Thistletown-Beaumond Heights,118
118,Thorncliffe Park,119
119,Trinity-Bellwoods,120
120,University,121
121,Victoria Village,122
122,Waterfront Communities-The Island,123
123,West Hill,124
124,West Humber-Clairville,125
125,Westminster-Branson,126
126,Weston,127
127,Weston-Pellam Park,128
128,Wexford/Maryvale,129
129,Willowdale East,130
130,Willowdale West,131
131,Willowridge-Martingrove-Richview,132
132,Woburn,133
133,Woodbine Corridor,134
134,Woodbine-Lumsden,135
135,Wychwood,136
136,Yonge-Eglinton,137
137,Yonge-St.Clair,138
138,Yorkdale-Glen Park,139
139,York University Heights,140
